Title,Learning Hours,Activity Description,Benefit to Practice,Benefit to Users
 First of a Kind (FoaK) 2 Rail Competition Briefing - York,2.0,"Do you have an innovative product and service that is ready for market exploitation, but has not yet been tested in a real-world railway environment?

Or are you a railway organisation with a vision to upgrade and future proof your rolling stock, infrastructure or stations?

If so, this First of a Kind (FoaK) 2 Competition will be for you. It is being delivered to “evaluate new rail technologies for the first time in real-world rail environments.”

The themes for this FoaK2 competition are:

Decarbonising the railways: Decarbonisation is a priority across the network, including stations, rolling stock and infrastructure. Optimising energy use is a challenge that prioritises optimised on-board and lineside energy storage technologies, energy recovery systems, small-scale energy generation and harvesting technologies, novel electrification techniques and lightweight vehicle technology.
Customer experience in stations: This theme focuses on demonstrating how innovative technology can be integrated for the first time in a railway station. Within this theme, the vision of this competition is to fit a single station with a number of innovative solutions to enhance the passengers’ experience of using the station and to deliver a vision of the ‘station of the future’.
Innovate UK, on behalf of the Department for Transport (DfT), will manage this FoaK 2 competition to accelerate innovation in the UK rail sector, enabling innovative solutions to take the final step to market readiness and integration into the railway system.

FoaK 2 will break down barriers to the delivery of innovations into the rail industry, by proving that the innovation delivers the expected outcomes when integrated in a complex real-world rail application.

Innovations for this competition must be:

High TRL proven technologies – i.e. market ready
Very low technology risk
The focus will be on: Integration activities; Demonstration proof of concept to customers and end-users; Collecting feedback from customers and users; Real innovations in the real world
Businesses can apply for a share of a substantial pot of money for First of a Kind technology to demonstrate aspects of tomorrow’s railway today. This competition offers the potential of 100% funding, with projects starting in early 2019.

Agenda

09:30 Registration
10:00 Welcome
Ian Stock, Manager - Rail & Marine, Knowledge Transfer Network
10:10 DfT Introduction – tbc
10:20 FoaK 2 Scope and Coverage
Rhianne Montgomery, Programme Manager and Kelvin Davies, Innovation Lead - Rail, Innovate UK
10:40 Application Process and Eligibility
Steve Sopp, Innovate UK
11:15 Q&A Session
11:30 Break & Networking
12:00 Challenges and Opportunities
Mark Pettman, Innovation Manager, LNER
12:15 Innovation Hub Project
Chandra Morbey, Innovation & Development Manager, Porterbrook Leasing Company Limited
12:30 Challenges and Opportunities
David Rowe, Head of Strategy, Network Rail 
12:45 HS2
Iain Roche
12:50 Opportunities
Sacha Visram, Innovation, RDG
12:55 Opportunities
Edwin Barker, Innovation Programme Advisor, RSSB
13:00 Rail Innovator Group – York
Richard Rowson, Mobility Consultant, F17 Limited
13:05 The UK Rail Research and Innovation Network (UKRRIN)
Robert Hopkin, University of Birmingham
13:10 Pitches
13:40 Lunch & Networking
14:30 Networking / Brokerage Session
Opportunity for 1:1s with asset owners, Innovate UK and KTN
Optional tour of York station
16:00 Close","This session taught me the essentials of writing a government grant, skills of which I require regularly in my current role.",Writing good government grants (and hopefully getting them!) showcases that we know how to successfully take a project from idea to completion. 
 Lancaster Data Science Meetup,1.0,"We'll be joined by Matt Barnes who's going to talk about data science methods used to analyse air quality data. (See Matt's blog here: https://beardsandtriathlons.wordpress.com/category/air-quality/)

We're going to use Matt's work to launch our group project and build something similar for Lancaster. We plan to get our group project going using local air quality data and data from Hazelrigg weather station.

We're going to be joined by a representative from Lancaster Council and the manager of Hazelrigg weather station so that we can talk about bringing data together and creating something useful for our city.",Matt gave an excellent talk about analysing air quality data. He highlighted a number of specific challenges with collecting air quality data which had not occurred to me before. We also had an in depth chat about using API's. Since this talk I've been enthused to investigate Open APIs and see whether these can be utilised in the systems that we are developing. ,"I am currently investigating methods to integrate open source weather (particularly API systems) with our client data where required to create deeper, more improved systems."
 Lancaster Data Science Meetup,1.0,"Tassos will go through the evolution process of OpenStreetCab, a mobile service for taxi price comparison. We will begin by discussing how the release of open datasets has made the app possible and we will continue by providing data driven insights aspects of urban transport economics and routing behaviour. The talk will feature - amongst others - comical elements behind the story of OpenStreetCab, including interactions with Black Cab drivers but also Uber itself.
",It was fascinating to hear how Tassos has taken an academic project right through to a real-life app. This made me think about how important it is to have a focus when developing a new product.  There was also an excellent networking event where I met local data scientists. ,My work involves taking academic ideas and bring them right through to the Technology Readiness Level 10. Hearing Tassos's story helped me re-think the importance of including customers at all levels throughout the process.
Arctic Shores Training:  Measuring Personality,2.0,Emily Boardman delivered a training course on psychometrics and the way to measure personality traits.,"Having a good knowledge of the personality traits ensures that I can consider these whilst developing models for Arctic Shores.

It is also personally interesting to understand my own personality traits better. ","As a data scientist at Arctic Shores, I will have to develop statistical models which predict personality. Having an in-depth understanding of the traits that we are trying to model is essential to the development of the model, and therefore the service which Arctic Shores provide. "
Arctic Shores Training: DataHub,2.0,"Qasim and Richard delivered training to me on how to use the DataHub. 
This included submitting a pull request and the python style guides used. ",This detailed training session taught me how to use the Arctic Shores Data Hub to submit queries and pull data. I also learned how to submit a pull request to the Arctic Shores Bitbucket account. ,My ability to use the DataHub well directed affected to the quality of the data analysis that I can provide Arctic Shores. Being able to quickly navigate around the Data Hub and find and extract meaningful data is a huge part of my job at Arctic Shores.
Arctic Shores Training: Security,1.0,"Security training delivered by Jorn on best practice.
Included choices for passwords, two-factor authentication, public wifi and laptop encryption. ","Jorn's presentation taught me how to ensure that Arctic Shores data is kept secure. 
As part of the session, I set up two-factor authentication on my mobile and encrypted my work laptop. We also discussed accessing the DataHub over public wifi. ","Arctic Shores stores some personal data of the users. Therefore, we have a duty to follow UK guidance and best practice to keep their data secure. "
Arctic Shores: Annual Summit,2.0,"Presentations from different employees of Arctic Shores. 
Talks on:
Upgrades to the DataHub
History of Psychometrics
Combinations of traits and levels
Inspector Help
Automatic interview questions","The variety of talks from different departments of Arctic Shores made the session very interesting and beneficial for me. Working as a lone statistician in a psychology company, it's vital to connect with the other departments. The talk from the DataHub about ""Inspector Help"" highlighted functionality with the DataHub which I did not previously know about. The Psychologist provided a history of psychometrics which was fascinating and helped me understand where the development of our tests have come from. The client services team showcased a new product in development which I will be working on in the near future.
I also gave a talk on my work exploring the relationship between traits and levels which was apparently very useful.","Understanding how the company works, and what projects other departments are working on is vital to providing a great service to our clients. "
Code for Lancaster,1.0,"Code for Lancaster is a volunteer Civic Technology meetup.

We were inspired by Code for Boston, and are made up of volunteer developers, designers, data geeks, citizen activists, and many others who look to use creative technology to solve civic and social problems.

We're having our first meeting at The Borough in Lancaster on Tuesday 30 October from 5.30pm.

5.30 - 6.30 Gather, networking
6.30 - 6.45 Quick overview of the work of Digital Lancashire
6.45 - 7.15 Thomas Skarbek-Wazynski to introduce Code Brigades, Code for Boston... and what we hope to achieve with Code for Lancaster
7.15 - Discussion about what the Code Brigade / Code for Lancaster initiative, and plans for a hack on #LancashireDigitalDay, November 27th
7.45 – More networking
Join us to discuss how we can hack Lancaster to make it a better place for everyone (and make plans for our first hackathon taking place 27 November on #LancashireDigitalDay!)

For example: “How might we better enable locals to be aware of mental health support” we consider a good problem statement, but “Let’s build a phone app to show people where the bus stops are” we consider to be a poor problem statement. The reason for this is so that we do not approach a project with a bunch of assumptions. We want to research the issue and find the best way to solve that issue.  

All projects must be open-source and freely available for their entire lifetime. We host all our project code on github, and if the project doesn’t involve code we will make it openly available in some other accessible way.  Projects of a political nature have to unbiased.

Projects focused on open-data, political awareness and transparency are fair game, but projects to support a particular political viewpoint are not.","Useful networking session, mixing with full stack developers as well as data scientists and statisticians. ","A number of the topics came back to discussing the ""What services can we provide"" vs ""What services do the users actually want?"" These discussions made me re-think the services that we currently provide and encouraged me to focus on the customer. "
"Data Conversations: Keep it, throw it, put it in the vault.",1.0,"In this Data Conversation we want to talk about the long term value of data. How can we make sure that data is accessible and usable now and into the future? Should we be keeping all of our data and if not, how can we assess what has long term value?

Come and share your data stories. We’d like to hear from:

People who’ve made decisions about what’s really worth preserving for the long term.
People who’ve created data that has been reused.
People who’ve reused data.
People who’ve lost data.
People who’ve faced obstacles reusing data.
People who’ve moved institutions and struggled to access their data","The speakers discussed their experiences with data, particularly how storing data that they hadn't expected to be useful was important in their analysis. We had some interesting discussions about lost data and personal data.",One of the first steps with users is discussing what data they have or deciding what data should be collected. Discussing best practises of data storage and collection will ensure we make the most of client's data.
Digital Rail Summit,5.0,"Summit for Digital Rail:
All day event including:

* SWOT session
* Strategy and Action plan
* Incentivisation for employees,  NEDs and associates.
* Value propositions and business models
* How to make a company valuable
* Routes to market for the three products
* Website and marketing
* Business areas and existing business
* Roles and responsibilities
","As a new employee to Digital Rail, this was an invaluable experience to help me understand the full business, the different areas and challenges. 
","I now have a more thorough understanding of the market that Digital Rail operates in. 
In particular, the session on value propositions was really insightful,.We have begun to build this into our product development, to ensure that we are meeting the customers' needs at all time by matching customer needs with a product solution. "
