Activity Type,Title,Start Date,End Date,Learning Hours
Professional activity, DSI Company Partners' Workshop,01/03/2019 10:00,01/03/2019 16:00,0.0
Work based learning, First of a Kind (FoaK) 2 Rail Competition Briefing - York,09/10/2018 10:00,09/10/2018 16:00,2.0
Professional activity, Lancaster Data Science Meetup,06/06/2017 18:00,06/06/2017 20:00,1.0
Professional activity, Lancaster Data Science Meetup,27/03/2017 18:00,27/03/2017 20:00,1.0
Work based learning,Arctic Shores Training:  Measuring Personality,22/05/2017 10:00,22/05/2017 12:00,2.0
Work based learning,Arctic Shores Training: DataHub,18/05/2017 10:00,18/05/2017 12:00,2.0
Work based learning,Arctic Shores Training: Security,07/12/2017 10:00,07/12/2017 11:00,1.0
Work based learning,Arctic Shores: Annual Summit,08/12/2017 10:00,15/12/2017 12:00,2.0
Professional activity,"Brand ""Me"": Lancaster Career Mentoring Event",05/02/2020 13:00,05/02/2020 14:00,0.5
Self-directed learning,Broom Prep,20/08/2019 15:00,20/08/2019 16:00,0.0
Work based learning,Career Mentor Launch,13/11/2019 12:00,13/11/2019 14:00,1.0
Other,Career Mentoring,13/11/2019 14:00,13/11/2019 16:00,0.0
Professional activity,Challenges in practical applied data science: Philip Jonathan,19/03/2019 16:00,19/03/2019 17:00,0.0
Professional activity,Code for Lancaster,30/10/2018 17:30,30/10/2018 20:30,1.0
Self-directed learning,Continuous Integration research,24/02/2020 11:00,24/02/2020 12:00,0.0
Professional activity,"Data Conversations: Keep it, throw it, put it in the vault.",18/09/2018 13:00,18/09/2018 16:00,1.0
Work based learning,Data Science Career Talk,06/11/2019 13:00,06/11/2019 14:00,0.0
Professional activity,Digital Rail Summit,26/07/2018 10:00,26/07/2018 16:00,5.0
Professional activity,Digital Rail: Summit,21/02/2019 09:00,21/02/2019 15:00,0.0
Professional activity,"DSI Invited Talk, Friday Morning Talk Series",29/03/2019 09:30,29/03/2019 10:30,0.0
Professional activity,DSI talk: Data Science and the ACM,15/02/2019 09:30,15/02/2019 10:30,0.5
Professional activity,DSI talk: Quantifying Input Modelling error in Simulation models – what is it and why does it matter?,01/02/2019 09:30,01/02/2019 09:30,0.5
Professional activity,EARL Conference,11/09/2019 00:00,12/09/2019 00:00,0.0
Professional activity,Enabling Better Network Performance,04/04/2019 00:00,04/04/2019 00:00,0.0
Professional activity,Florence Nightingale,10/01/2019 09:00,10/01/2019 13:00,1.0
Professional activity,Her + Data MCR,12/04/2018 18:30,12/04/2018 21:00,1.0
Professional activity,IMechE NW RD - Challenging Times,23/10/2018 16:00,23/10/2018 22:00,2.0
Professional activity,Instructor's webinar,02/04/2020 14:00,02/04/2020 15:00,0.0
Work based learning,Interview candidates,04/07/2019 12:00,04/07/2019 15:00,0.0
Formal / Educational,Introduction to Python,10/06/2019 09:00,11/06/2019 17:00,8.0
Work based learning,ISO9001 ,07/01/2019 00:00,08/01/2019 00:00,5.0
Work based learning,KableExtra,22/05/2019 00:00,23/05/2019 00:00,0.0
Professional activity,Leadership talk  - Kevin Glazebrook,25/01/2017 14:00,25/01/2017 15:00,1.0
Self-directed learning,Learn CI/CD,05/11/2019 14:00,05/11/2019 17:00,0.0
Work based learning,Learn Lintr,08/10/2019 14:00,08/10/2019 17:00,0.0
Self-directed learning,Learn Purrr,01/07/2019 14:00,01/07/2019 17:00,0.0
Professional activity,Manchester ML,24/05/2018 18:00,24/05/2018 23:00,2.0
Professional activity,Manchester ML,22/02/2018 18:00,22/02/2018 23:00,0.0
Work based learning,Manchester R,21/11/2019 00:00,21/11/2019 00:00,0.0
Professional activity,Manchester R User group,15/05/2018 18:00,15/05/2018 22:00,3.0
Professional activity,Manchester R User group,06/02/2019 16:00,06/02/2019 22:00,1.5
Professional activity,Manchester R User group,09/11/2017 19:00,09/11/2017 22:00,2.0
Professional activity,Manchester R User group,01/08/2017 19:00,01/08/2017 22:00,1.0
Self-directed learning,Mango Data Scientist Radar,16/11/2017 15:00,16/11/2017 16:00,1.0
Other,Mentoring,28/05/2019 11:00,28/05/2019 12:00,0.0
Other,Mentoring junior data scientist,01/10/2019 09:00,01/10/2019 17:00,0.0
Professional activity,NHS R Conference,04/11/2019 09:00,05/11/2019 17:00,0.0
Professional activity,Northwest Universities R Day,31/10/2018 09:00,31/10/2018 18:00,7.0
Work based learning,Observing training,25/06/2019 09:00,26/06/2019 17:00,0.0
Professional activity,OR Analytics Conferece,13/06/2019 09:00,13/06/2019 17:00,0.0
Professional activity,OR60 Conference,11/09/2018 00:00,13/09/2018 00:00,2.0
